,Diesase_Name,overview,symptoms_elements,symptoms_paragraph
962,Myelodysplastic syndromes,Myelodysplastic syndromes are a group of disorders caused by blood cells that are poorly formed or don't work properly. Myelodysplastic syndromes result from something amiss in the spongy material inside your bones where blood cells are made (bone marrow).,"FatigueShortness of breathUnusual paleness (pallor), which occurs due to a low red blood cell count (anemia)Easy or unusual bruising or bleeding, which occurs due to a low blood platelet count (thrombocytopenia)Pinpoint-sized red spots just beneath the skin that are caused by bleeding (petechiae)Frequent infections, which occur due to a low white blood cell count (leukopenia)","Bleeding into the skin looks like tiny reddish-purple spots, also known as petechiae. Petechiae might look like a rash. Here they appear on a leg (A) and on the stomach area (B)."
963,Myelofibrosis,Myelofibrosis is an uncommon type of bone marrow cancer that disrupts your body's normal production of blood cells.,"Feeling tired, weak or short of breath, usually because of anemiaPain or fullness below your ribs on the left side, due to an enlarged spleenEasy bruisingEasy bleedingExcessive sweating during sleep (night sweats)FeverBone pain","Myelofibrosis usually develops slowly. In its very early stages, many people don't experience signs or symptoms."
964,Myocarditis,Myocarditis is inflammation of the heart muscle. This illustration shows a typical heart muscle compared to damaged heart muscle due to inflammation.,"Chest painFatigueSwelling of the legs, ankles and feetRapid or irregular heartbeat (arrhythmias)Shortness of breath, at rest or during activityLight-headedness or feeling like you might faintFlu-like symptoms such as headache, body aches, joint pain, fever or sore throat",Some people with early myocarditis don't have symptoms. Others have mild symptoms.
965,Myoclonus,"Myoclonus refers to a quick jerking movement that you can't control. Hiccups are a form of myoclonus, as are the sudden jerks or ""sleep starts"" that you may feel just before falling asleep. These forms of myoclonus occur in healthy people and usually aren't serious.","SuddenBriefInvoluntaryShock-likeVariable in intensity and frequencyOccurring in one part of the body or all over the bodySometimes severe enough to interfere with eating, speaking or walking","People with myoclonus often describe their symptoms as jerks, shakes or spasms that are:"
966,Myofascial pain syndrome,"Myofascial pain syndrome is a chronic pain disorder. In this condition, pressure on sensitive points in your muscles (trigger points) causes pain in the muscle and sometimes in seemingly unrelated parts of your body. This is called referred pain.","Deep, aching pain in a musclePain that persists or worsensA tender knot in a muscleDifficulty sleeping due to pain",Signs and symptoms of myofascial pain syndrome may include:
967,Nearsightedness,"With typical vision, an image is sharply focused onto the retina. In nearsightedness (myopia), the point of focus is in front of the retina, making distant objects appear blurry.",Blurry vision when looking at distant objectsThe need to squint or partially close the eyelids to see clearlyHeadachesEyestrain,Nearsightedness signs or symptoms may include:
968,Myxofibrosarcoma,,,
969,Nail fungus,"Nail fungus can cause the nail to become thick, ragged and discolored. An infected nail may separate from the nail bed.","ThickenedDiscoloredBrittle, crumbly or raggedMisshapenSeparated from the nail bedSmelly",Symptoms of nail fungus include a nail or nails that are:
970,Narcissistic personality disorder,"Narcissistic personality disorder is a mental health condition in which people have an unreasonably high sense of their own importance. They need and seek too much attention and want people to admire them. People with this disorder may lack the ability to understand or care about the feelings of others. But behind this mask of extreme confidence, they are not sure of their self-worth and are easily upset by the slightest criticism.","Have an unreasonably high sense of self-importance and require constant, excessive admiration.Feel that they deserve privileges and special treatment.Expect to be recognized as superior even without achievements.Make achievements and talents seem bigger than they are.Be preoccupied with fantasies about success, power, brilliance, beauty or the perfect mate.Believe they are superior to others and can only spend time with or be understood by equally special people.Be critical of and look down on people they feel are not important.Expect special favors and expect other people to do what they want without questioning them.Take advantage of others to get what they want.Have an inability or unwillingness to recognize the needs and feelings of others.Be envious of others and believe others envy them.Behave in an arrogant way, brag a lot and come across as conceited.Insist on having the best of everything — for instance, the best car or office.",Symptoms of narcissistic personality disorder and how severe they are can vary. People with the disorder can:
971,Narcolepsy,Narcolepsy is a sleep disorder that makes people very drowsy during the day. People with narcolepsy find it hard to stay awake for long periods of time. They fall asleep suddenly. This can cause serious problems in their daily routine.,"Excessive daytime sleepiness.People with narcolepsy fall asleep without warning. It can happen anywhere and at any time. It may happen when you're bored or during a task. For example, you may be working or talking with friends and suddenly fall asleep. It can be especially dangerous if you fall asleep while driving. You might fall asleep for only a few minutes or up to a half-hour. After waking, you'll often feel refreshed but you'll get sleepy again.You also may experience a decrease in how alert and focused you feel during the day. Daytime sleepiness often is the first symptom to appear. Feeling sleepy makes it hard to focus and function.Some people with narcolepsy continue doing a task when they fall asleep briefly. For example, you may fall asleep while writing, typing or driving. You might continue to perform that task while asleep. When you awaken, you can't remember what you did, and you probably didn't do it well.Sudden loss of muscle tone.This condition is called cataplexy. It can cause slurred speech or complete weakness of most muscles. Symptoms may last up to a few minutes.Cataplexy can't be controlled. It's triggered by intense emotions. Often the emotions that cause cataplexy are positive. Laughter or excitement may cause the symptoms. But sometimes fear, surprise or anger can cause the loss of muscle tone. For example, when you laugh, your head may drop without your control. Or your knees may suddenly lose strength, causing you to fall.Some people with narcolepsy experience only one or two episodes of cataplexy a year. Others have several episodes a day. Not everyone with narcolepsy has these symptoms.Sleep paralysis.People with narcolepsy often experience sleep paralysis. During sleep paralysis, you can't move or speak while falling asleep or upon waking. It's usually brief — lasting a few seconds or minutes. But it can be scary. You may be aware of it happening and can recall it afterward.Not everyone with sleep paralysis has narcolepsy.Hallucinations.Sometimes people see things that aren't there during sleep paralysis. Hallucinations also may happen in bed without sleep paralysis. These are called hypnagogic hallucinations if they happen as you fall asleep. They're called hypnopompic hallucinations if they happen upon waking. For example, you might feel as if there is a stranger in your bedroom. These hallucinations may be vivid and frightening because you may not be fully asleep when you begin dreaming.Changes in rapid eye movement (REM) sleep.REMsleep is when most dreaming happens. Typically, people enterREMsleep 60 to 90 minutes after falling asleep. But people with narcolepsy often move more quickly toREMsleep. They tend to enterREMsleep within 15 minutes of falling asleep.REMsleep also can happen at any time of the day.",The symptoms of narcolepsy may get worse during the first few years of the disorder. Then they continue for life. They include:
